Id,Reputation,CreationDate,DisplayName,LastAccessDate,WebsiteUrl,Location,AboutMe,Views,UpVotes,DownVotes,ProfileImageUrl,EmailHash,Age,AccountId
"13","150694","2008-08-01 04:18:04","Chris Jester-Young","2016-10-14 06:25:52","http://about.cky.nz/","Raleigh, NC, United States","<p>Quick links:</p>

<ul>
<li><a href=""http://about.cky.nz/"" rel=""nofollow"">About me</a>, <a href=""https://github.com/cky"" rel=""nofollow"">GitHub</a>, <a href=""https://twitter.com/cky944"" rel=""nofollow"">@cky944</a></li>
<li><a href=""https://wiselike.com/cky"" rel=""nofollow"">Ask me anything!</a></li>
<li><a href=""http://careers.stackoverflow.com/cky"">SO Careers profile</a></li>
<li><a href=""https://dyscourse.quora.com/"" rel=""nofollow"">Programming blog</a></li>
</ul>

<p>I'm a New Zealander, and I speak and write in New Zealand English.</p>

<p>All the code snippets I post on Stack Overflow are licensed under <a href=""http://creativecommons.org/publicdomain/zero/1.0/"" rel=""nofollow"">CC0</a>, unless otherwise specified.<sup>†</sup> In short: Free as in <a href=""http://en.wikipedia.org/wiki/Free_love"" rel=""nofollow"">free love</a>. Reuse to your heart's content! :-D</p>

<p>(This does not in any way contradict the site policy of licensing everything under CC-Wiki; it simply gives users even more freedom. In particular, you are not obliged to link back to SO when you use my code snippets.)</p>

<p><sup>†</sup> This additional CC0 licence applies to my code snippets on Stack Overflow only. It does not apply to other Stack Exchange sites that my profile might happen to get copied to. In particular, I do not grant this licence to my posts on <a href=""http://codegolf.stackexchange.com/"">Code Golf Stack Exchange</a>.</p>
","27137","5167","211","","","36","9"
"16","457","2008-08-01 12:01:53","Rodrigo Sieiro","2016-10-14 23:52:35","http://twitter.com/rsieiro","Uberlândia, Minas Gerais, Brazil","You don't know me because I keep a low profile.","817","47","3","","","36","11"
"17","39557","2008-08-01 12:02:21","Nick Berardi","2016-10-07 18:43:00","http://nickberardi.com","Issaquah, WA","<p>In my spare time when not working as a software developer, I contribute to a couple open source projects that I am quite proud of:</p>

<ul>
<li><p><a href=""http://code.google.com/p/elmah"" rel=""nofollow"">ELMAH</a> (Error Logging Modules and Handlers) is an application-wide error logging facility that is completely pluggable. </p></li>
<li><p><a href=""https://github.com/managedfusion/managedfusion-rewriter"" rel=""nofollow"">URL Rewriter</a> a .NET module which mimics the Apache mod_rewrite syntax for support in IIS and Casini</p></li>
<li><p><a href=""https://github.com/managedfusion/fluentcassandra"" rel=""nofollow"">Fluent Cassandra</a> a .NET client for accessing the NoSQL Apache Cassandra database.</p></li>
</ul>

<p>Oh yeah and I also wrote a book:</p>

<ul>
<li>Co-authors of <a href=""http://rads.stackoverflow.com/amzn/click/0470410957"" rel=""nofollow"">ASP.NET MVC 1.0 Website Programming: Problem - Design - Solution</a> published by Wrox and released in June 2009.</li>
</ul>
","4213","883","214","","","36","12"
"19","920","2008-08-01 12:05:14","Mads Kristiansen","2016-10-14 11:43:50","","Denmark","","687","33","11","https://i.stack.imgur.com/SBitp.jpg","","43","13"
"20","7148","2008-08-01 12:09:11","Tom","2016-10-15 00:33:24","http://tommcfarlin.com","Atlanta, GA","","1393","369","38","","","","14"
"22","9199","2008-08-01 12:11:11","maclema","2016-10-04 18:34:32","http://www.maclema.com","Calgary, Canada","","861","193","5","","","30","15"
"23","3161","2008-08-01 12:11:43","Jax","2016-10-14 21:10:02","","Apex, NC","","591","482","6","https://i.stack.imgur.com/QWTks.jpg","","30","16"
"24","2183","2008-08-01 12:12:53","sanmiguel","2016-10-13 10:46:59","","London, United Kingdom","<p>-behaviour(gen_ale_drinker).</p>
","314","531","3","","","33","17"
"25","13521","2008-08-01 12:15:23","CodingWithoutComments","2016-10-03 19:07:01","http://www.codingwithoutcomments.com","Seattle, WA","a man, a plan, a canal, panama
","3269","537","83","","","36","18"
"26","10104","2008-08-01 12:18:14","Shawn","2016-10-14 21:50:11","","San Francisco, CA","<p>a long time ago i found an xss vuln here and took down the entire site<br/><br/>
userid 26, respect</p>
","3084","564","67","https://www.gravatar.com/avatar/?s=128&d=identicon&r=PG&f=1","","32","19"
"27","1216","2008-08-01 12:21:40","denny","2015-10-07 14:13:39","","Winchester, VA","<p>I write shitty, buggy code...but that's okay.</p>
","323","364","3","","","33","20"
"29","59379","2008-08-01 12:24:53","Michael Haren","2016-10-15 18:12:08","http://blog.wassupy.com/search/label/Technology","Ohio","<ul>
<li>These days I'm a .net/sql software guy</li>
<li>I have plenty of experience on the LAMP stack, too</li>
<li>Currently toying with RoR, ObjC. and stumbling my way through LINQ to Entities</li>
<li>Currently loving ASP.NET MVC and jQuery</li>
<li>More about be on my <a href=""http://careers.stackoverflow.com/haren"">CV</a> or <a href=""http://blog.wassupy.com/search/label/Technology"" rel=""nofollow"">personal blog</a></li>
<li>mharen@gmail.com</li>
<li>Random silliness on <a href=""http://twitter.com/mharen"" rel=""nofollow"">Twitter</a></p></li>
</ul>

<p>This is a personal account and not affiliated with my employer.</p>

<p>#SOreadytohelp</p>
","4207","5698","177","","","34","21"
"30","7052","2008-08-01 12:25:44","Grant","2016-10-10 00:38:12","http://beta.stackoverflow.com/badges/22/great-question","Georgia","<p>Lead (and only) programmer for respectable hardware company.</p>
","1221","143","8","","","32","22"
"32","784","2008-08-01 12:31:17","TimM","2011-10-09 22:12:56","http://www.sample.com","Alabama","I live in meteor crater.  I hate ObjC.","246","5","1","","","42","23"
"33","14530","2008-08-01 12:32:10","John","2016-10-14 17:27:14","http://www.blueboxes.co.uk","Southampton, United Kingdom","<p>I am software developer primary working with Microsoft technologies and you can find me on <a href=""http://twitter.com/johnkilmister"" rel=""nofollow"">Twitter</a></p>

<p>#SOreadytohelp</p>
","1185","2206","25","","","34","24"
"34","13958","2008-08-01 12:39:52","Karl Seguin","2012-02-04 00:55:28","http://www.openmymind.net/","Ottawa, Canada","Check out my <a href=""http://tinyurl.com/5jaae2"" rel=""nofollow"">free ebook</a>","1507","51","9","","","37","25"
"35","13434","2008-08-01 12:43:07","Greg Hurlman","2016-10-13 15:13:38","http://greghurlman.com","Washington, DC","<p>Solution Architect on the Parature team at Microsoft based in Washington, DC.<br/>
<br/>
Coder for 25 years, .Net developer since 2001.<br/>
<br/>
Twitter: @justcallme98<br />
<br />
Xbox Live Gamertag: ExitNinetyEight</p>
","1268","445","211","","","38","26"
"36","3956","2008-08-01 12:43:55","Pat","2016-10-14 23:16:18","http://www.patrickhyatt.com","San Diego, CA","<p>Full stack developer, living in San Diego, working remotely for a public relations company headquartered in Chicago.<br>
Most proficient with WISC (<strong>W</strong>indows, <strong>I</strong>IS, <strong>S</strong>QL Server, <strong>C</strong>Sharp) stack, dabble with the rest.  </p>

<p><a href=""http://www.patrickhyatt.com"" rel=""nofollow"">http://www.patrickhyatt.com</a></p>
","428","421","10","","","35","27"
"37","4081","2008-08-01 12:44:00","Wally Lawless","2016-10-13 18:18:42","http://www.power-coder.net","Georgetown, Canada","<p>I'm a professional developer that used to work in PHP every day. These days I work primarily with JavaScript-based technologies and Front-End software.</p>

<h1>SOreadytohelp</h1>
","645","256","18","","","35","28"
"38","2379","2008-08-01 12:44:28","blcArmadillo","2015-07-30 20:40:27","http://www.ianburris.com","Detroit, MI","<p>I'm currently studying computer engineering at the University of Michigan. My interests include: machine learning, data mining, hardware design, investing, and music.</p>
","447","74","0","","","26","29"
"39","9810","2008-08-01 12:44:55","huseyint","2016-10-11 13:42:02","http://huseyint.com/","Istanbul, Turkey","<p>Livin' and breathin' .NET!</p>
","1288","510","21","","","31","30"
"40","8227","2008-08-01 12:48:12","Kevin","2016-10-14 04:16:45","http://kevinx.net/","Philadelphia, PA","<p>.NET Machine</p>

<p><a href=""http://stackapps.com/questions/1085/timeline-inline-view-of-question-revision-history"">http://stackapps.com/questions/1085/timeline-inline-view-of-question-revision-history</a></p>
","1073","640","96","","","27","31"
"41","674","2008-08-01 12:56:51","Redbaron","2011-03-16 19:26:26","","Canada","","137","66","9","","","32","32"
"42","16802","2008-08-01 13:00:11","Coincoin","2016-07-05 15:11:28","","Montreal, Canada","A guy with the attention span of a dead goldfish who has been having a blast in the industry for more than 10 years.

Mostly specialized in game and graphics programming, from custom software 3D renderers to accelerated hardware pipeline programming.","893","368","45","","","37","33"
"43","1527","2008-08-01 13:02:27","Justin","2016-09-01 14:46:41","http://www.thirdandgrove.com","United States","<p>Co-founder and CTO at <a href=""http://www.thirdandgrove.com/"" rel=""nofollow"">Third and Grove</a>, <a href=""http://www.justinemond.com/pro-web-project-management/"" rel=""nofollow"">published author</a>, lover of beer, Director of Safety at the Black Mesa Research Facility.</p>
","337","304","48","","","","34"
"44","1646","2008-08-01 13:03:39","Tom Grochowicz","2016-09-30 03:16:15","http://tom.grochowi.cz","Austin, TX","<p>More of a lurker than an asker.</p>

<p>Currently working with Javascript, Python, and whatever else is necessary.</p>
","281","39","8","","","27","35"
"45","52890","2008-08-01 13:04:45","Bob","2016-02-15 19:04:03","http://www.bob-stanton.com","United States","","1604","72","21","","","","36"
"46","9416","2008-08-01 13:13:21","sven","2016-10-15 08:22:33","http://-","Belgium","","959","516","23","https://i.stack.imgur.com/U5kmD.jpg?s=128&g=1","","33","37"
"48","3613","2008-08-01 13:25:15","Mat","2016-10-14 12:59:36","","London, United Kingdom","<p>I'm an engineer on the Chrome Developer Relations team at Google.</p>
","421","71","19","","","35","38"
"49","14709","2008-08-01 13:29:21","Leon Bambrick","2016-10-07 04:17:43","http://secretGeek.net","Australia","<p>living the dream. 
creator of <a href=""http://TimeSnapper.com"" rel=""nofollow"">http://TimeSnapper.com</a>, <a href=""http://NimbleText.com"" rel=""nofollow"">http://NimbleText.com</a>, <a href=""http://secretGeek.net"" rel=""nofollow"">http://secretGeek.net</a>, <a href=""http://YouMustGet.It"" rel=""nofollow"">http://YouMustGet.It</a> and <a href=""http://YourFirstProduct.com"" rel=""nofollow"">http://YourFirstProduct.com</a></p>
","989","872","16","","","40","39"
"50","7151","2008-08-01 13:29:54","helloandre","2016-10-12 21:00:28","http://andrebluehs.net","San Francisco, CA, United States","<p>I'm <a href=""http://andrebluehs.net"" rel=""nofollow"">Andre Bluehs</a>. I build websites.</p>
","1354","795","50","","","28","40"
"51","22399","2008-08-01 13:31:13","Yaakov Ellis","2016-10-15 19:32:41","http://ellisweb.net","Yad Binyamin, Israel","<p>Husband, father, learner and programmer trying to live life as it should be lived. (@yaakov)</p>

<p>Developer @ StackExchange since 10/2013</p>
","2180","2584","44","","","35","41"
"52","2108","2008-08-01 13:33:31","saniul","2016-09-28 18:31:04","","London, United Kingdom","","285","399","50","","","26","42"
"55","6662","2008-08-01 13:40:09","Ryan Fox","2016-10-13 03:20:07","http://rcfox.ca","Waterloo, Canada","<p>Computer Engineer</p>
","819","278","152","","","30","44"
"56","7170","2008-08-01 13:53:45","doekman","2016-10-14 20:22:40","http://www.zanstra.com/my/","Groningen, Netherlands","<p>I'm both a Mac and Windows user. I like programming web applications. My languages of choice are Javascript and C#.</p>
","636","187","5","","","44","45"
"57","58","2008-08-01 13:53:49","Chad Paulson","2011-06-19 05:21:53","http://chadpaulson.com/about.html","Chicago, IL","","47","1","0","","","36","46"
"58","17549","2008-08-01 13:56:33","cmcculloh","2016-10-14 20:17:05","https://medium.com/@cmcculloh","Indianapolis, IN","<p>Front-End Engineer at Exact Target</p>

<p>Co-Author of HTML, XHTML and CSS All-in-one Desk Reference for Dummies</p>

<p>Graduated from IU with a Bachelors of Media Arts and Science and a Certificate in Applied Computer Science.</p>

<p>Tech Editor for Building Facebook Applications for Dummies and Building Websites All-in-one for Dummies 2nd Edition.</p>

<p>Creator and maintainer of the Status-bar Calculator Firefox and Chrome extensions</p>

<p>Three years professional experience in Java E-Commerce Development and four years professional experience with PHP</p>

<p>Teach Server Side Programming with PHP and Mobile Applications Development at IUPUI</p>
","1307","962","54","","","32","47"
"59","3357","2008-08-01 14:02:13","saint_groceon","2008-09-15 17:34:53","http://www.antesonic.org","Houston, TX","I tend to program Python, PHP, VBA (sigh), and C++ every now and then.","182","24","4","","","33","48"
"60","44934","2008-08-01 14:04:09","Dave Ward","2015-11-29 17:12:52","http://encosia.com","Atlanta, GA","<p>Full stack .NET/JavaScript consultant specializing in architecture and development for sites, hybrid apps, and APIs built on web technologies.</p>
","2989","2104","228","","","40","49"
"61","16234","2008-08-01 14:21:00","Bernard","2016-06-19 06:13:03","","Auckland, New Zealand","Just another Computer Science Major.

:)","1280","1293","204","","","28","50"
"62","2803","2008-08-01 14:21:21","Liron Yahdav","2016-10-15 23:03:09","http://example.com","San Francisco, CA","<p>I'll fill this out someday.</p>
","446","792","8","","","31","51"
"63","5857","2008-08-01 14:25:17","JimDaniel","2015-08-26 14:11:41","http://resoapp.com","Atlanta, GA","<p>I am a programmer with seven years experience. My current technology interests are Ruby, Rails, Objective C, iOS.</p>
","754","158","12","https://i.stack.imgur.com/M0cBF.jpg","","40","52"
"64","6580","2008-08-01 14:27:12","t3rse","2016-10-13 14:14:31","http://www.t3rse.com","United States","<p>Software developer based in Sioux Falls, South Dakota but of Ugandan extraction. Interests include photography, chess, literature, and sports.</p>
","806","256","7","","","41","53"
"67","100811","2008-08-01 14:49:18","Rex M","2016-10-15 17:29:34","http://www.rexmorgan.net","United States","<p>Building cool stuff with great teams as Engineering Director @ <a href=""http://www.inmar.com/"" rel=""nofollow"">Inmar</a>. Previously Qorvo, Volvo.<br /><br />
Connect with me on <a href=""http://twitter.com/rexm"" rel=""nofollow"">Twitter @rexm</a> or <a href=""http://github.com/rexm"" rel=""nofollow"">GitHub</a>, or directly at rex@rexmorgan.net.</p>
","7660","4172","774","","","","55"
"68","752","2008-08-01 14:52:56","Jonathan","2016-10-14 19:44:26","","Minneapolis, Minnesota, United States","","90","9","0","","","","56"
"70","5602","2008-08-01 15:02:45","Tim Boland","2016-10-13 19:29:49","http://www.techtoolblog.com","Cincinnati, OH","Web App Developer","309","70","4","","","35","57"
"71","20329","2008-08-01 15:05:56","Dillie-O","2016-10-14 18:53:50","http://about.me/dillieo","Prescott, AZ","<p>Senior Software Engineer for <a href=""http://freshconsulting.com"" rel=""nofollow"">Fresh Consulting</a>. </p>

<p>See my <a href=""http://careers.stackoverflow.com/dillieo"">Careers CV</a> for geekish details.</p>

<p>See my <a href=""http://about.me/dillieo"" rel=""nofollow"">website</a> for everything else.</p>

<p><em>Bonum, Veritas, Pulcher, Techne.</em></p>

<p><em>Living. Loving. Forgiving. Never giving up...</em></p>
","2228","1411","21","","","38","58"
"72","21303","2008-08-01 15:09:58","pix0r","2016-10-12 20:24:43","http://pixor.net/","Carlsbad, CA, United States","<p>Computer nerd</p>
","1271","1196","21","","","35","59"
"73","904","2008-08-01 15:12:05","Joe Fontana","2016-10-15 15:53:55","","United States","","132","78","4","","","29","60"
"75","5145","2008-08-01 15:54:25","Ryan Ahearn","2016-10-12 20:38:02","http://rcahearn.net","Baltimore, MD","<p>I am a software engineer whose job includes coding in about every language that's ever been involved in the web.  Ruby, C, C++, PHP, Java, Javascript, Python, and Perl.</p>
","409","630","13","","","33","61"
"76","2904","2008-08-01 15:56:38","Pete","2016-10-12 17:53:36","http://www.peteonsoftware.com","Delaware, OH","<p>My name is Pete Shearer. I am a professional software developer with almost a decade of experience. I started working with VBA, then VB6 - earning my MCSD, on to classic ASP with VBScript, and now C# and ASP.Net. I mostly use Sql Server 2008 for back end development.
</p>

<p>I’ve worked for banks, hospitals, consulting companies, a small software development company, and now a health care services company.
</p>

<p>My blog title is a blatant ripoff of Joel on Software, but I consider it more of an homage!
</p>

<p>I am married, have 3 kids, and live in Ohio. GO BUCKS!!!</p>
","248","263","13","","","39","62"
"77","42773","2008-08-01 16:02:03","Darren Kopp","2016-10-16 00:27:55","http://darrenkopp.com","Layton, UT","<p>I'm a software developer located in Layton, UT.</p>

<p>I currently work for <a href=""http://devresults.com"" rel=""nofollow"">DevResults</a> solving important problems.</p>
","2390","427","49","","","31","63"
"78","414","2008-08-01 16:03:23","A Salim","2015-09-25 13:55:05","http://asalim.net","Canada","<p>@theshady</p>
","201","10","2","","","31","64"
"79","13125","2008-08-01 16:05:09","Adam Ernst","2016-10-06 21:58:19","http://www.itrans.info","New York, NY","<p>I'm an iOS developer based in New York City. I made one of the first 500 apps on the App Store with <a href=""http://www.itrans.info/"" rel=""nofollow"">iTrans, my NYC subway app</a>. I did the Khan Academy iPad app and the Turntable.fm iPhone app.</p>

<p>Now I <a href=""http://www.adamernst.com/"" rel=""nofollow"">blog</a> and work at Facebook on their iOS app.</p>
","1060","411","37","","","29","65"
"80","3011","2008-08-01 16:11:11","alumb","2016-10-12 18:02:08","http://lynet.ca","Vancouver, Canada","<p>I'm a banana. My spoon is too big.</p>
","868","143","7","","","33","66"
"81","869","2008-08-01 16:28:33","MattH","2016-10-12 20:48:42","","United States","","280","48","5","https://www.gravatar.com/avatar/?s=128&d=identicon&r=PG&f=1","","","67"
"82","11771","2008-08-01 16:28:35","xyz","2016-10-02 06:30:24","","","","1851","1305","15","","","","68"
"83","25668","2008-08-01 16:31:56","Zack Peterson","2016-10-14 21:40:00","http://careers.stackoverflow.com/zackpeterson","Des Moines, IA","<p>I am a computer programmer with interests in both interface design and software architecture. I develop World Wide Web applications and distributed network applications. I am concerned with all facets of the software development process. I contribute to projects in an application architect role and also perform individual programming tasks.</p>
","2314","1944","63","","","34","69"
"85","19572","2008-08-01 16:38:08","Paul Wicks","2016-10-16 04:18:11","","United States","","962","463","84","","","","70"
"86","4210","2008-08-01 16:45:58","svrist","2016-10-13 18:47:55","http://seet.dk","Denmark","<ul>
<li>Developer (Java, C#, Silverlight/WPF)</li>
<li>FreeBSD sysadm + perl wannabe-hacker</li>
<li>Former consultant</li>
</ul>

<p>from Copenhagen, Denmark, Europe</p>
","445","1744","59","","","34","71"
"87","1114","2008-08-01 16:59:16","DylanJ","2016-10-09 22:24:24","http://john.ston.ca","Germany","","156","24","8","","","25","72"
"88","1686","2008-08-01 17:09:52","ESRogs","2016-10-14 00:25:51","","","","159","207","6","","","31","73"
"91","96130","2008-08-01 17:55:22","Michael Stum","2016-10-14 22:39:52","http://www.Stum.de","Irvine, CA","<p>Full-Stack Developer at Stack Overflow, working to make our little corner of the Internet better for all of us.</p>

<p>If it consumes electricity, chances are good that I worked with it or at least know about it. Graduated as SysAdmin, turned Programmer. C# (ASP.net MVC and Web API), JavaScript (node.js and browser based), in the past I also worked with Basic, Java, and PHP. Did some Ruby and Go code as a hobby. 6502 Assembly is art.</p>

<p>I'm also <a href=""http://www.twitter.com/mstum"" rel=""nofollow"">on Twitter</a> and I have <a href=""http://stum.de/"" rel=""nofollow"">a blog</a>.</p>
","9696","6881","52","","","33","75"
"92","16454","2008-08-01 17:55:41","Justin Standard","2016-10-10 20:32:14","http://stackoverflow.com/users/92/justin-standard","California","<p>I am a software developer in southern California. My favorite languages are Python and Scheme.</p>

<p>Additionally, I'm an avid amateur cook and baker, and particularly enjoy combining interesting/unusual ingredients into favorite recipes to create something new.</p>
","2790","621","37","","","35","76"
"93","5274","2008-08-01 18:23:58","MojoFilter","2016-10-15 17:40:36","","Crystal River, Florida United States","","494","629","13","","","36","77"
"94","84","2008-08-01 18:26:19","Stephen R.","2012-06-22 04:18:38","http://ontheheap.com","Chicago, IL","","47","3","0","","","","78"
"95","12513","2008-08-01 18:28:24","Marek Grzenkowicz","2016-10-14 13:23:15","","Poland","<p>SQL Server → .NET → SharePoint → Informatica PowerCenter → Hadoop</p>

<p><a href=""http://www.linkedin.com/in/marekgrzenkowicz"" rel=""nofollow"">LinkedIn</a> | <a href=""http://www.last.fm/user/chopeen"" rel=""nofollow"">Last.fm</a></p>
","2057","2323","145","","","","79"
"96","22945","2008-08-01 18:33:48","Chris Marasti-Georg","2016-10-14 15:52:14","http://www.marastige.org","Pittsburgh, PA","<p>Bowler with a programming problem.</p>
","1518","886","96","","","33","80"
"99","7203","2008-08-01 19:25:50","Jason Pratt","2016-10-08 18:59:59","http://jasonpratt.org/","Pittsburgh, PA","Game Developer<br>
Favorite language: Python","294","142","52","","","39","81"
"100","5014","2008-08-01 20:41:59","Eric Haskins","2016-10-02 20:29:42","http://www.ehaskins.net","Elkhorn, WI","<p>
I'm a geek. What else do you want to know?
</p>
","1338","609","12","","","24","82"
"101","26323","2008-08-01 20:47:39","Peter Burns","2016-10-14 14:18:34","http://blog.rictic.com/","San Francisco, CA","<p>I like my dynamic languages dynamic (Javascript, Python, Ruby) and my static types strong (Haskell).  Though in a pinch I have been known to code in C, Java, and C#.</p>

<p>Currently working for Google.</p>
","1362","520","63","","","32","83"
"102","10145","2008-08-01 22:04:10","Bill","2016-10-02 22:52:39","","United States","<p>I'm a software engineer, and I've been spending a lot of time using C# lately.</p>
","783","2462","38","","","35","84"
"103","2464","2008-08-01 22:31:22","svec","2016-10-12 11:35:00","http://www.chrissvec.com","Boston, MA","<p>I'm an embedded software engineer and all around nice guy.</p>

<p>I make robots. I used to make chips.</p>

<p><a href=""http://www.linkedin.com/in/christophersvec"" rel=""nofollow""><a href=""http://www.linkedin.com/in/christophersvec"" rel=""nofollow"">http://www.linkedin.com/in/christophersvec</a></a></p>
","399","184","7","","","40","85"
"104","1255","2008-08-01 23:16:18","Ted Dziuba","2010-09-10 21:27:22","http://www.teddziuba.com/","California","We gonna kick some nerd ass up in here.","2246","9","4","","","","86"
"105","1636","2008-08-01 23:29:32","Ryan Eastabrook","2016-10-15 06:06:55","http://www.mantratechnology.com","United States","A software developer.","347","95","3","","","38","87"
"106","11678","2008-08-02 00:12:12","EndangeredMassa","2016-10-12 14:13:50","http://massalabs.com/","Chicago, IL","<p><a href=""http://careers.stackoverflow.com/seanmassa"">Stack Overflow Careers</a></p>

<p><a href=""http://massalabs.com"" rel=""nofollow"">Blog</a></p>

<p><a href=""https://twitter.com/endangeredmassa"" rel=""nofollow"">@endangeredmassa</a></p>
","2166","761","109","","","31","88"
"107","461","2008-08-02 00:14:14","Wilson","2015-12-04 04:11:51","http://www.netwhatever.com/","Sydney, Australia","<p>General-purpose tech guy</p>

<p>Twitter: @wafonso</p>
","78","8","1","","","45","89"
"108","3171","2008-08-02 00:19:35","Greg","2016-10-15 22:17:50","http://gregcurt.is","Mountain View, CA","<p>Code Reliability Engineer working with the Android, iOS, and Windows mobile teams at Box.</p>
","248","292","5","","","28","90"
"109","8718","2008-08-02 00:20:47","Kalid","2015-10-10 21:32:52","http://betterexplained.com","Seattle, WA","<p>I'm always up for new programming tricks.</p>
","397","136","3","","","","91"
"111","1657","2008-08-02 03:35:55","saalon","2016-10-12 17:26:07","http://www.saalonmuyo.com","Pittsburgh, PA","<p>Writer, Filmmaker, Programmer.</p>

<p>Or something like that.</p>
","275","661","3","","","38","92"
"112","18360","2008-08-02 05:39:11","Jesse Beder","2016-10-15 13:52:36","http://bederstudios.com","Chicago, IL, United States","<p>Googler, mathematician.<br><br>
Check out Optia, a puzzle game for iOS, or yaml-cpp, a YAML parser/emitter library in C++.</p>
","1593","1144","172","","","32","93"
